smiles,id
CCN(CCN)C(=O)c1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3ccccc23)c1,0
O=C(NCc1ccccc1)Nc1ncc([N+](=O)[O-])s1,1
Clc1cc2c([nH]c3cnccc32)c(Cl)c1OCC1CC1,2
Cc1cccc(C(=O)Nc2cccc(C(C)Nc3cncc(Cl)n3)c2)c1,3
CSc1ccc2nc3c(c(Cl)c2c1)CCNC3=O,4
Cc1cc(C)cc(NC(=O)Nc2ccc3c(c2)CCc2sc4ncnc(N)c4c2-3)c1,5
COc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O,6
Fc1ccc(-c2nc3sccn3c2-c2ccncc2)cc1,7
CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,8
Cc1c(C=O)c(=O)n2c([nH]c3ccccc32)c1C#N,9
Cc1ccc(O)cc1CCC1C(O)CCC2(C)C(C(C)C=CCC(C)C)CCC12,10
CCN(CC)CC#Cc1cnc(N)c2c(-c3ccc(NC(=O)Nc4cccc(C)c4)cc3)csc12,11
Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,12
O=C(Nc1nc2ccccc2s1)c1cccc2c1CN(c1nc(C(=O)O)c(-c3ccc(CO)cc3)s1)CC2,13
Nc1ncnc2scc(-c3ccc(NC(=O)Nc4cc(C(F)(F)F)ccc4F)cc3)c12,14
NC(=O)c1cc2c(Oc3cccc(F)c3)cncc2s1,15
Nc1cc(S(=O)(=O)NC(=O)c2ccc(-c3ccc(F)cc3)cc2)ccc1NC1CCCCC1,16
Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC3CCOCC3)nc21,17
OCCNc1cc2cc(-c3cccnc3)ccc2cn1,18
COc1ccc(-c2cncc(C#N)c2Nc2ccc3[nH]ccc3c2)cc1OC,19
O=c1nc2sc3c(c2c2nc(-c4cccnc4)[nH]n12)CCCC3,20
COc1cc(C2=C(c3c[nH]c4ccccc34)CNC2=O)cc(OC)c1OC,21
Cc1c(-c2cccc(OCc3ccccc3)c2)c2c(N)ncnc2n1C1CC(CN2CCCC2)C1,22
COc1cc(-c2ccc3c(c2)Nc2ccc(C(=O)NCCNC(C)=O)cc2NC3=O)ccc1O,23
O=C(NC1CC1)c1cc(NCc2cnc(Nc3ccccn3)s2)c(F)cc1F,24
NC1CCC(Nc2nccc(-c3c[nH]c4ncccc34)n2)CC1,25
O=C(CCn1c2ccccc2c2c3c(c4c5ccccc5[nH]c4c21)C(=O)NC3)NCC1CCOC1,26
COc1ccccc1CN=C(N)Nc1nccc(-c2cccs2)n1,27
NCCCn1cc(-c2cc(-c3cc4ccccc4s3)c3[nH]ncc3c2)c2nc(N)ncc21,28
O=C(NCc1ccc(Cl)cc1)c1cc2c(-c3ccccc3)[nH]nc2s1,29
O=c1c(NCc2ccc(Cl)c(Cl)c2)c(Nc2ccncc2)c1=O,30
Nc1nccc2scc(-c3ccc(NC(=O)Nc4ccccc4C(F)(F)F)cc3)c12,31
CC(Nc1c(Nc2ccncc2)c(=O)c1=O)c1ccccc1,32
Cc1nc(COc2ccccc2Cl)sc1-c1ccnc(N)n1,33
NC(=O)c1sc2c([N+](=O)[O-])cc(SC(F)(F)F)cc2[n+]1[O-],34
NC(=O)c1sc2c(Br)ccc(Cl)c2c1N,35
CC1=C2CCCC(NNC(=O)Cc3cccc4ccccc34)=C2C=CC1=O,36
COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C(C)C(N)=O,37
c1ccc(CNc2nc(-c3ccc4[nH]ncc4c3)cs2)cc1,38
CCOc1ccc2cc(-c3nn(C)c4ncnc(N)c34)ccc2c1,39
CC(N)C1CCC(C(=O)Nc2ccnc3[nH]ccc23)CC1,40
Nc1nc2ccc(-c3c(-c4ccc(F)cc4)nc4sccn34)cc2n1CC1CC1,41
CC(C)C(C)Nc1ncc(Cl)c(Nc2nccs2)n1,42
Cc1ccc(O)cc1CCC1C(O)CCC2(C)C1CC(O)C2C(C)CCCC(C)C,43
CCOC(=O)c1cccc2[nH]c(-c3ccc(N4CCC(N)C4)cc3)nc12,44
CC1CSc2c(C(=O)O)c(=O)c3cc(F)c(N4CCC(N)C4)c(F)c3n21,45
c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,46
CCOc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C)c5)cnc(N)c34)cc2)cc1,47
C(=Cc1cncc(OC2CCNC2)c1)c1ccncc1,48
CC(NC(=O)C(C)NS(=O)(=O)c1cccc2cnccc12)C(=O)NC(CO)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)NC(CCCN=C(N)N)C(=O)O,49
COCCOCC#Cc1cc(-c2n[nH]c3c2C(=O)c2cc(CN4CCN(C)CC4)ccc2-3)cs1,50
